Year,GVA in IE
1975,
1976,
1977,
1978,
1979,
1980,
1981,
1982,
1983,
1984,
1985,
1986,
1987,
1988,
1989,
1990,
1991,
1992,
1993,
1994,
1995,"2,822.90"
1996,"3,162.40"
1997,"3,963.00"
1998,"4,604.50"
1999,"5,582.90"
2000,"6,931.00"
2001,"8,081.40"
2002,"8,671.80"
2003,"9,933.10"
2004,"11,947.10"
2005,"14,622.00"
2006,"17,365.00"
2007,"16,062.10"
2008,"11,049.20"
2009,"4,170.50"
2010,"2,342.30"
2011,"1,679.40"
2012,"2,691.80"
2013,"3,477.50"
2014,"4,427.40"
2015,"4,908.80"
2016,"5,734.50"
2017,"7,478.10"
2018,"8,055.20"
2019,"8,778.90"
2020,"8,178.60"
2021,"8,717.80"
2022,"11,051.30"