Country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Belgium,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,"10,507.10","10,028.90","10,148.30","10,295.20","11,136.00","11,796.00","12,029.40","12,027.00","12,369.80","13,126.90","13,642.30","15,356.40","16,687.50","18,030.40","17,554.40","17,720.10","18,856.00","18,849.70","18,713.50","19,008.00","19,294.00","19,678.40","20,149.90","21,767.40","22,628.00","22,019.80","24,298.90","26,484.10"
Bulgaria,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,459.3,286.9,254.9,525.8,632.6,646.8,744,776.3,801.9,902.2,"1,255.00","1,616.70","2,180.40","2,809.70","3,107.50","2,384.60","2,290.70","2,142.50","1,725.50","1,651.30","1,726.50","1,646.60","1,866.10","2,034.60","2,366.80","2,614.30","2,338.40","2,636.40"
Czechia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,"3,201.50","3,716.80","3,736.10","3,998.90","3,772.20","3,763.40","4,146.40","5,081.40","5,288.80","5,657.70","6,653.70","7,172.70","8,053.90","9,321.40","9,428.30","10,081.00","9,597.80","8,630.00","8,215.70","8,048.30","8,636.50","8,721.30","9,547.70","10,630.70","11,489.50","11,088.60","12,110.80","14,423.30"
Denmark,"2,045.30","2,390.60","2,522.10","2,602.50","2,518.70","2,790.80","2,564.20","2,627.70","2,775.10","3,174.00","3,440.80","3,854.70","4,662.00","4,914.20","4,800.30","4,727.90","4,675.90","4,871.00","4,664.40","5,042.90","5,623.50","6,316.50","6,117.40","6,972.70","7,868.10","8,377.70","8,116.70","8,405.40","8,936.20","9,373.50","9,762.10","11,099.60","11,359.60","12,521.30","10,233.30","9,264.20","9,902.80","10,012.50","10,145.20","10,532.70","11,749.90","13,380.40","14,328.80","14,828.70","14,716.50","14,860.20","16,275.10","19,183.40"
Germany,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,"82,983.20","100,053.40","110,102.60","119,413.30","123,093.90","114,548.00","107,153.80","102,518.90","101,737.00","98,046.00","93,163.00","89,431.00","85,419.00","83,134.00","80,470.00","83,210.00","87,680.00","91,548.00","91,320.00","99,926.00","105,972.00","110,392.00","112,226.00","119,583.00","124,907.00","132,548.00","137,994.00","148,044.00","154,323.00","167,329.00","179,802.00","211,102.00"
Estonia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,169.7,200.2,238.5,312.1,270.8,327.1,367.9,435.8,514.6,604.4,854.5,"1,167.60","1,515.20","1,419.00",869,750.4,"1,008.70","1,154.40","1,163.60","1,079.10","1,098.50","1,229.50","1,379.70","1,561.80","1,669.80","1,651.80","1,845.80","2,198.50"
Ireland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,"2,822.90","3,162.40","3,963.00","4,604.50","5,582.90","6,931.00","8,081.40","8,671.80","9,933.10","11,947.10","14,622.00","17,365.00","16,062.10","11,049.20","4,170.50","2,342.30","1,679.40","2,691.80","3,477.50","4,427.40","4,908.80","5,734.50","7,478.10","8,055.20","8,778.90","8,178.60","8,717.80","11,051.30"
Greece,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,"5,296.40","5,993.40","6,954.10","7,650.70","8,880.00","8,948.10","9,574.30","10,301.40","14,318.20","16,056.90","11,375.30","18,085.80","15,017.30","10,718.80","10,549.60","9,066.80","6,360.40","5,330.20","5,153.90","3,738.40","3,493.40","3,484.20","2,259.10","2,431.20","2,573.70","2,681.30","2,925.10","3,945.10"
Spain,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,"40,332.80","42,032.40","42,580.80","46,325.80","52,401.00","59,546.00","67,287.00","74,418.00","80,950.00","87,547.00","99,008.00","108,814.00","113,088.00","115,549.00","107,575.00","87,560.00","73,557.00","62,703.00","53,763.00","53,254.00","56,422.00","59,362.00","62,061.00","64,459.00","70,821.00","61,880.00","60,865.00","63,162.00"
France,"20,036.70","21,680.90","22,869.30","25,723.60","28,587.40","33,291.00","34,214.40","36,563.70","36,565.60","36,936.70","38,388.10","44,170.60","46,568.60","50,876.40","51,979.70","55,723.20","56,900.00","59,842.20","57,961.20","56,524.40","57,773.00","56,144.80","54,961.70","55,823.90","59,356.00","64,400.00","68,702.00","71,601.00","75,103.00","80,824.00","86,159.00","94,645.00","104,954.00","113,565.00","108,816.00","108,114.00","111,634.00","109,623.00","111,927.00","110,116.00","107,884.00","108,362.00","113,137.00","117,386.00","124,114.00","108,963.00","125,454.00","129,235.00"
Croatia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,851.8,"1,095.00","1,329.10","1,312.00","1,007.50",949.8,"1,167.50","1,294.00","1,679.50","1,894.00","2,220.40","2,532.30","2,803.10","3,177.50","2,780.50","2,101.20","1,926.30","1,611.70","1,605.80","1,575.10","1,647.10","1,767.90","1,873.70","2,135.60","2,465.30","2,535.40","2,894.70","3,189.60"
Italy,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,"42,391.70","48,364.80","49,216.10","48,812.40","50,280.30","54,025.20","59,804.60","64,361.30","69,507.80","75,022.70","79,606.90","83,258.40","87,163.80","89,655.40","85,514.00","81,550.40","82,617.50","76,511.80","71,343.00","65,661.90","64,622.70","65,426.20","66,085.00","66,997.30","69,444.20","66,317.50","79,968.80","88,591.30"
Cyprus,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,652.8,693.7,712.6,753.7,775,811.2,872,968.1,"1,081.60","1,206.40","1,360.10","1,572.40","1,818.90","2,014.70","1,584.10","1,422.60","1,233.00","1,030.10",781.9,653.4,634.8,759.2,922.2,"1,091.60","1,299.70","1,192.30","1,309.20","1,418.50"
Latvia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,174.9,191.8,246.5,366.3,447.4,538.9,519.6,577,583.5,688.5,831.1,"1,313.10","2,048.70","2,245.20","1,333.50",776.6,985.2,"1,183.00","1,250.80","1,300.30","1,308.50","1,184.00","1,378.90","1,608.60","1,732.50","1,677.40","1,622.40","1,719.10"
Lithuania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,324.3,403.5,590.5,732.1,686.4,664.5,724.3,852.1,"1,037.60","1,195.50","1,480.60","2,055.60","2,915.80","3,285.60","1,601.00","1,472.60","1,839.30","1,846.50","2,123.50","2,453.80","2,496.70","2,346.20","2,540.60","2,878.20","3,215.50","3,257.20","3,566.30","4,284.60"
Luxembourg,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,950.4,953.7,990,"1,081.10","1,182.00","1,257.00","1,338.20","1,446.00","1,487.40","1,548.00","1,524.00","1,674.50","1,920.70","1,954.20","1,917.10","2,006.90","2,045.70","2,198.80","2,289.80","2,477.50","2,584.50","2,797.60","2,806.30","2,898.30","3,425.10","3,307.10","3,805.30","4,581.00"
Hungary,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,"1,497.60","1,438.20","1,746.60","1,815.40","1,962.20","2,216.90","2,805.20","3,601.70","3,523.10","3,833.00","4,509.70","4,263.20","4,324.70","4,535.70","3,889.90","3,508.00","3,503.00","3,242.60","3,480.70","3,747.60","3,988.60","3,509.60","4,565.00","5,819.70","7,087.90","6,627.10","8,130.30","9,256.50"
Malta,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,158.6,162,171.5,179,182.8,236.5,259.2,322.9,348.2,343.9,339.4,302.4,232.6,252.6,241.3,285.7,268.6,266.1,303.4,283.5,320.5,333.6,403.9,460.6,598.8,606.2,638,670.3
Netherlands,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,"16,314.80","16,385.70","16,471.00","17,566.80","19,935.00","21,651.00","23,624.00","24,887.00","25,047.00","25,327.00","26,702.00","28,529.00","31,030.00","33,336.00","33,516.00","30,186.00","29,794.00","27,254.00","25,632.00","25,882.00","26,394.00","28,188.00","29,970.00","32,544.00","36,001.00","38,241.00","40,100.00","39,965.00"
Austria,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,"13,251.60","13,669.50","13,335.10","13,913.00","14,283.80","14,308.80","14,000.30","14,131.40","15,085.10","15,602.30","15,833.70","16,134.80","17,435.30","18,169.80","17,457.00","17,123.60","17,476.80","18,028.30","18,545.60","18,958.70","19,174.20","19,954.50","21,148.30","22,326.80","23,258.90","24,178.00","26,329.80","31,372.10"
Poland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,"7,981.10","9,473.70","11,028.40","13,161.50","12,925.00","13,596.90","15,234.30","13,779.50","11,587.40","13,086.50","16,397.50","18,404.50","21,387.00","26,186.90","24,032.70","25,886.80","30,047.60","27,784.30","26,383.80","29,201.10","33,012.10","29,262.90","30,197.30","34,573.30","36,259.10","34,605.70","32,320.60","35,424.60"
Portugal,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,"5,223.90","5,590.90","6,417.90","7,017.20","7,616.70","8,602.80","9,226.60","9,479.40","9,157.80","9,465.00","9,538.30","9,682.10","10,291.20","10,528.80","9,767.90","9,224.90","8,464.30","7,168.60","6,767.10","6,298.00","6,391.40","6,523.40","6,864.30","7,463.80","8,087.20","8,298.30","8,938.60","9,438.10"
Romania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,"1,805.40","1,895.50","1,825.90","2,037.30","1,757.50","2,119.00","2,571.60","3,004.80","3,226.10","3,853.50","5,561.40","7,746.50","12,224.80","16,644.20","13,379.90","10,240.20","9,123.60","10,517.00","9,820.70","9,597.40","9,492.70","10,122.60","10,166.70","12,291.00","14,129.20","14,445.90","14,942.20","18,163.60"
Slovenia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,809.7,908.3,"1,028.90","1,095.70","1,275.30","1,244.80","1,253.20","1,281.20","1,400.00","1,474.80","1,656.20","1,941.50","2,435.90","2,746.90","2,457.80","2,010.30","1,891.50","1,819.80","1,657.90","1,852.30","1,808.30","1,817.80","2,002.50","2,287.70","2,530.90","2,504.40","2,824.30","3,683.50"
Slovakia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,600.3,955.5,"1,065.90","1,113.60",961.8,"1,129.10","1,193.50","1,481.30","1,594.40","1,897.20","2,246.60","2,981.60","3,801.50","5,434.40","5,540.30","5,490.80","5,350.40","5,765.00","4,983.10","5,251.00","5,685.20","5,671.30","6,234.80","6,501.10","5,702.50","5,580.10","5,512.80","6,542.10"
Finland,:,:,:,:,:,"2,555.40","3,083.90","3,569.60","3,950.90","4,447.90","4,550.90","4,625.50","4,918.40","6,011.20","7,990.10","8,100.00","6,903.70","4,519.40","3,238.20","3,691.90","4,327.60","4,752.00","5,203.00","5,959.10","6,602.00","7,344.00","7,464.00","7,254.00","7,652.00","8,329.00","9,256.00","9,904.00","11,040.00","11,824.00","10,733.00","10,729.00","11,176.00","11,696.00","11,667.00","11,478.00","11,899.00","13,120.00","14,014.00","14,975.00","15,371.00","15,876.00","15,395.00","15,501.00"
Sweden,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,"8,011.90","7,790.70","7,916.70","8,786.60","8,583.70","8,859.80","9,566.50","10,554.80","10,761.40","11,652.70","12,316.60","13,635.00","13,768.90","15,799.90","17,884.80","17,215.90","16,073.50","18,639.20","21,205.10","22,669.20","23,048.60","23,487.20","25,153.00","26,040.00","28,784.70","27,996.80","27,395.50","29,280.30","31,052.60","30,843.90"
Iceland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,336.1,338,510.3,582.4,617.7,773.9,675.8,704,712.4,879.3,"1,194.30","1,306.70","1,378.10",849.6,401.6,422.4,423,466.3,520.7,655.9,784.6,"1,152.30","1,459.00","1,583.40","1,571.20","1,333.90","1,381.70","1,710.70"
Norway,"1,453.40","1,714.50","1,957.60","2,112.50","1,920.60","2,061.80","2,334.40","2,770.40","2,888.30","3,131.80","3,482.40","3,716.00","4,050.10","4,676.30","4,277.70","3,653.00","3,152.80","3,238.50","2,857.20","3,459.10","4,088.20","4,500.50","5,314.00","5,665.10","5,798.90","6,396.60","7,015.70","8,210.30","8,160.90","8,924.60","10,510.50","12,268.40","14,519.40","15,095.90","13,932.90","15,460.70","17,386.20","20,472.40","20,374.90","20,090.40","19,691.40","19,674.90","20,879.70","21,327.30","21,907.00","20,113.30","22,904.30","24,444.30"
Switzerland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,"17,129.40","17,154.80","15,789.40","15,941.50","17,794.70","17,813.20","16,080.90","13,752.60","13,978.30","14,055.20","14,945.40","15,871.60","16,909.80","16,408.50","16,101.30","16,763.70","16,754.20","16,295.30","17,408.40","18,560.00","21,350.20","24,981.30","25,877.30","26,065.90","27,090.60","31,546.60","30,962.50","30,413.00","29,739.20","31,130.40","32,676.40","33,199.80","36,700.80"
United Kingdom,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,"49,108.90","53,629.90","62,719.90","72,697.80","84,001.30","98,242.80","101,104.70","108,603.30","103,177.80","107,480.90","117,490.50","125,538.00","134,677.20","118,477.20","91,051.00","96,190.40","99,042.50","109,212.30","112,167.10","126,316.20","151,330.90","137,955.80","136,374.00","139,253.50","147,894.10",:,:,:
Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,351.6,323,322.2,327.8,341,399.6,443.8,558.2,706.2,675.1,570.2,550.3,534,534.7,572.8,572.4,597.8,643.9,685.6,758.3,808.6,847.3,991.6
Montenegro,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,76.4,156.6,197.3,164.6,154.6,160.6,147.9,123.9,118,137.4,218.4,241.2,266.4,318.3,254.3,234.4,238
Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,179.5,172.7,163.4,259.1,428.5,616,750.2,778.7,905.2,993.3,"1,108.10","1,246.00","1,392.20","1,295.70","1,163.00","1,178.50","1,091.70",990.1,858.5,914.3,954.3,"1,056.20","1,152.40","1,178.40","1,188.00","1,442.10","1,748.10"
Serbia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,"1,707.00",937.1,"1,144.70",867,799,802.8,331.2,596.7,697.6,777.9,831.9,"1,058.90","1,400.80","1,558.60","1,177.70","1,075.40","1,344.70","1,273.80","1,096.60","1,133.30","1,342.10","1,433.50","1,616.30","1,912.70","2,628.70","2,548.20","3,199.00","3,345.80"