Year,House Construction Cost
1975,20
1976,22.9
1977,26.9
1978,29.6
1979,34.2
1980,42.3
1981,50.4
1982,57.4
1983,62.2
1984,68.4
1985,76.1
1986,81.7
1987,84.8
1988,88.2
1989,94.2
1990,98.6
1991,102.2
1992,104.7
1993,107.3
1994,111
1995,114.7
1996,116.3
1997,120.4
1998,124.9
1999,131
2000,141
2001,161.5
2002,171.8
2003,176.5
2004,181.5
2005,186.9
2006,194.2
2007,201.7
2008,209.4
2009,206.5
2010,208.7
2011,203.1
2012,203.5
2013,204.7
2014,206
2015,207.1
2016,208.2