Quarter,New House Prices in IE (€),Second Hand House Prices(€)
1975Q1,11887,
1975Q2,12837,
1975Q3,13269,
1975Q4,13892,
1976Q1,14738,
1976Q2,15250,
1976Q3,15549,
1976Q4,17130,
1977Q1,17149,
1977Q2,18165,
1977Q3,19436,
1977Q4,20042,
1978Q1,22388,19320
1978Q2,24267,22257
1978Q3,25093,23736
1978Q4,25030,22920
1979Q1,27176,24082
1979Q2,30314,29099
1979Q3,30240,28372
1979Q4,30078,28641
1980Q1,32512,29303
1980Q2,34119,29986
1980Q3,35917,31133
1980Q4,37643,33177
1981Q1,38567,34922
1981Q2,39778,37234
1981Q3,41169,40110
1981Q4,42282,37775
1982Q1,43120,39020
1982Q2,44239,41674
1982Q3,44075,39824
1982Q4,44695,40332
1983Q1,44621,39942
1983Q2,44341,42445
1983Q3,45057,45005
1983Q4,43774,45896
1984Q1,45017,45657
1984Q2,45492,45703
1984Q3,45843,45104
1984Q4,45453,44235
1985Q1,45667,44512
1985Q2,46404,45791
1985Q3,46636,46457
1985Q4,47689,46070
1986Q1,47201,45636
1986Q2,48373,48131
1986Q3,49030,47637
1986Q4,48350,46622
1987Q1,47994,45543
1987Q2,47482,45255
1987Q3,48946,47175
1987Q4,51511,48179
1988Q1,51021,48576
1988Q2,51028,49333
1988Q3,52661,52808
1988Q4,54426,52055
1989Q1,56845,51163
1989Q2,55954,53978
1989Q3,58574,54896
1989Q4,62453,59034
1990Q1,65366,60474
1990Q2,64700,63333
1990Q3,66772,62922
1990Q4,65425,62640
1991Q1,67007,63308
1991Q2,64974,63171
1991Q3,66694,64037
1991Q4,69070,65901
1992Q1,69688,65430
1992Q2,68764,65675
1992Q3,69276,64453
1992Q4,69370,65720
1993Q1,67975,65832
1993Q2,69955,66815
1993Q3,70956,65620
1993Q4,69753,68398
1994Q1,73016,70307
1994Q2,72084,70010
1994Q3,70933,70869
1994Q4,74997,68198
1995Q1,77731,70688
1995Q2,76655,74410
1995Q3,77208,74736
1995Q4,80303,77100
1996Q1,81571,77769
1996Q2,84702,85443
1996Q3,90903,88373
1996Q4,91947,89971
1997Q1,93355,91671
1997Q2,100598,99132
1997Q3,104146,103089
1997Q4,111981,115898
1998Q1,117818,117712
1998Q2,123278,130387
1998Q3,124569,140456
1998Q4,135828,148049
1999Q1,142329,153042
1999Q2,142837,157243
1999Q3,151496,167943
1999Q4,158140,174541
2000Q1,160685,173991
2000Q2,167378,190152
2000Q3,169458,197604
2000Q4,180013,198915
2001Q1,182990,203995
2001Q2,187784,213030
2001Q3,178876,204279
2001Q4,181171,201613
2002Q1,189931,213390
2002Q2,196905,227063
2002Q3,199220,229412
2002Q4,206879,241054
2003Q1,213904,243604
2003Q2,222532,267646
2003Q3,225356,266444
2003Q4,235688,277818
2004Q1,238084,274274
2004Q2,246299,301620
2004Q3,249348,293114
2004Q4,262277,308899
2005Q1,264472,304839
2005Q2,275394,332151
2005Q3,275810,327864
2005Q4,287134,351530
2006Q1,294580,348597
2006Q2,308302,379011
2006Q3,309206,389871
2006Q4,313087,375577
2007Q1,320969,379874
2007Q2,331947,386989
2007Q3,319214,374392
2007Q4,314333,366912
2008Q1,311113,359277
2008Q2,313678,356638
2008Q3,301680,335762
2008Q4,282023,323418
2009Q1,255029,297294
2009Q2,241288,286952
2009Q3,233189,254754
2009Q4,226505,244679
2010Q1,226245,247534
2010Q2,226833,279839
2010Q3,230868,280315
2010Q4,229531,272638
2011Q1,241749,274750
2011Q2,232174,275233
2011Q3,226215,253678
2011Q4,225067,246823
2012Q1,215587,248302
2012Q2,227376,251815
2012Q3,221123,251972
2012Q4,216810,244350
2013Q1,225340,245098
2013Q2,224432,260030
2013Q3,232083,257404
2013Q4,231011,257462
2014Q1,234098,253128
2014Q2,241912,271000
2014Q3,247398,264394
2014Q4,258989,255958
2015Q1,267517,259385
2015Q2,275235,266787
2015Q3,285015,267530
2015Q4,298551,263616
2016Q1,309703,264258
2016Q2,314950,277452
2016Q3,304307,276759
2016Q4,322680,284348