Year,Total Floor Area for which Permission Granted(All types of Construction)
1977,
1978,
1979,
1980,
1981,
1982,
1983,
1984,
1985,
1986,
1987,
1988,
1989,
1990,
1991,
1992,4565
1993,4614
1994,5639
1995,6365
1996,7698
1997,8153
1998,10221
1999,
2000,
2001,16206
2002,14420
2003,15044
2004,18719
2005,19995
2006,19288
2007,23985
2008,16799
2009,10190
2010,5256
2011,4076
2012,3198
2013,3338
2014,3184
2015,4861
2016,5543
2017,6019
2018,7458
2019,8233
2020,8033
2021,8542
2022,7202